StartNode,EndNode,Cost,Lower,Upper
Canada,USA,26.775,0,2976.6
SaudiArabia,YanbuEWP,9.9,0,605
AbqaiqEWP,YanbuEWP,9.9,0,0
SuMedSouth,SuMedNorth,2.235,0,55
TPPWest,TPPEast,0.9,0,55
Mexico,USA,14.86,0,10000
SaudiArabia,NorthHormuz,7.4,0,10000
Nigeria,USA,136.4,0,10000
Venezuela,USA,39,0,10000
Iraq,NorthHormuz,12.12,0,10000
Iraq,AbqaiqEWP,4,0,10000
Angola,USA,157.74,0,10000
Colombia,USA,34.32,0,10000
Colombia,PanamaCanalWest,7.12,0,10000
Algeria,StraitofGibraltarEast,6.14,0,10000
Russia,DanishStraitsEast,15.34,0,10000
Russia,TurkishStraitsNorth,9.98,0,10000
Brazil,USA,81.6,0,10000
Ecuador,USA,80,0,10000
Ecuador,PanamaCanalWest,11.78,0,10000
Ecuador,TPPWest,11.26,0,10000
Kuwait,NorthHormuz,11.64,0,10000
Kuwait,AbqaiqEWP,4.24,0,10000
NorthHormuz,SouthHormuz,0,0,10000
SouthHormuz,USA,287.98,0,10000
SouthHormuz,StraitofBabelMandebSouth,37.8,0,10000
SouthHormuz,StraitofMalaccaWest,74.04,0,10000
SouthHormuz,LombokandMakassarStraits,96.64,0,10000
StraitofMalaccaWest,StraitofMalaccaEast,0,0,10000
StraitofMalaccaEast,USA,173.76,0,10000
StraitofBabelMandebNorth,SuezCanalSouth,28,0,10000
StraitofBabelMandebNorth,SuMedSouth,26.98,0,10000
StraitofBabelMandebSouth,StraitofBabelMandebNorth,0,0,10000
StraitofBabelMandebNorth,StraitofBabelMandebSouth,0,0,10000
SuezCanalSouth,SuezCanalNorth,0,0,10000
SuezCanalNorth,StraitofGibraltarEast,46,0,10000
StraitofGibraltarEast,StraitofGibraltarWest,0,0,10000
TurkishStraitsNorth,TurkishStraitsSouth,0,0,10000
TurkishStraitsSouth,StraitofGibraltarEast,40,0,10000
PanamaCanalWest,PanamaCanalEast,0,0,10000
PanamaCanalEast,USA,33.48,0,10000
DanishStraitsEast,DanishStraitsWest,0,0,10000
DanishStraitsWest,USA,97.74,0,10000
LombokandMakassarStraits,USA,181.86,0,10000
StraitofGibraltarWest,USA,112,0,10000
YanbuEWP,SuezCanalSouth,17.76,0,10000
YanbuEWP,SuMedSouth,16.98,0,10000
SuMedNorth,StraitofGibraltarEast,46,0,10000
YanbuEWP,StraitofBabelMandebNorth,10.26,0,10000
StraitofBabelMandebSouth,USA,277.32,0,10000
Start,Canada,0,0,2976.6
Start,Mexico,0,0,1325.5
Start,SaudiArabia,0,0,1314.5
Start,Nigeria,0,0,898.7
Start,Venezuela,0,0,1038.4
Start,Iraq,0,0,506
Start,Angola,0,0,380.6
Start,Colombia,0,0,464.2
Start,Algeria,0,0,393.8
Start,Russia,0,0,683.1
Start,Brazil,0,0,273.9
Start,Ecuador,0,0,211.2
Start,Kuwait,0,0,210.1
USA,Start,0,9706,9706
