StartNode,EndNode,Cost,Lower,Upper
Canada,USA,32.13,0,2976.6
SaudiArabia,YanbuEWP,11.88,0,605
AbqaiqEWP,YanbuEWP,11.88,0,0
SuMedSouth,SuMedNorth,2.682,0,55
TPPWest,TPPEast,1.08,0,55
Mexico,USA,17.832,0,10000
SaudiArabia,NorthHormuz,8.88,0,10000
Nigeria,USA,163.68,0,10000
Venezuela,USA,46.8,0,10000
Iraq,NorthHormuz,14.544,0,10000
Iraq,AbqaiqEWP,4.8,0,10000
Angola,USA,189.288,0,10000
Colombia,USA,41.184,0,10000
Colombia,PanamaCanalWest,8.544,0,10000
Algeria,StraitofGibraltarEast,7.368,0,10000
Russia,DanishStraitsEast,18.408,0,10000
Russia,TurkishStraitsNorth,11.976,0,10000
Brazil,USA,97.92,0,10000
Ecuador,USA,96,0,10000
Ecuador,PanamaCanalWest,14.136,0,10000
Ecuador,TPPWest,13.512,0,10000
Kuwait,NorthHormuz,13.968,0,10000
Kuwait,AbqaiqEWP,5.088,0,10000
NorthHormuz,SouthHormuz,0,0,10000
SouthHormuz,USA,345.576,0,10000
SouthHormuz,StraitofBabelMandebSouth,45.36,0,10000
SouthHormuz,StraitofMalaccaWest,88.848,0,10000
SouthHormuz,LombokandMakassarStraits,115.968,0,10000
StraitofMalaccaWest,StraitofMalaccaEast,0,0,10000
StraitofMalaccaEast,USA,208.512,0,10000
StraitofBabelMandebNorth,SuezCanalSouth,33.6,0,10000
StraitofBabelMandebNorth,SuMedSouth,32.376,0,10000
StraitofBabelMandebSouth,StraitofBabelMandebNorth,0,0,10000
StraitofBabelMandebNorth,StraitofBabelMandebSouth,0,0,10000
SuezCanalSouth,SuezCanalNorth,0,0,10000
SuezCanalNorth,StraitofGibraltarEast,55.2,0,10000
StraitofGibraltarEast,StraitofGibraltarWest,0,0,10000
TurkishStraitsNorth,TurkishStraitsSouth,0,0,10000
TurkishStraitsSouth,StraitofGibraltarEast,48,0,10000
PanamaCanalWest,PanamaCanalEast,0,0,10000
PanamaCanalEast,USA,40.176,0,10000
DanishStraitsEast,DanishStraitsWest,0,0,10000
DanishStraitsWest,USA,117.288,0,10000
LombokandMakassarStraits,USA,218.232,0,10000
StraitofGibraltarWest,USA,134.4,0,10000
YanbuEWP,SuezCanalSouth,21.312,0,10000
YanbuEWP,SuMedSouth,20.376,0,10000
SuMedNorth,StraitofGibraltarEast,55.2,0,10000
YanbuEWP,StraitofBabelMandebNorth,12.312,0,10000
StraitofBabelMandebSouth,USA,332.784,0,10000
Start,Canada,0,0,2976.6
Start,Mexico,0,0,1325.5
Start,SaudiArabia,0,0,1314.5
Start,Nigeria,0,0,898.7
Start,Venezuela,0,0,1038.4
Start,Iraq,0,0,506
Start,Angola,0,0,380.6
Start,Colombia,0,0,464.2
Start,Algeria,0,0,393.8
Start,Russia,0,0,683.1
Start,Brazil,0,0,273.9
Start,Ecuador,0,0,211.2
Start,Kuwait,0,0,210.1
USA,Start,0,9706,9706
